timestamp,test,status,details
2025-09-09T17:48:47,Flow,PASS,"userId=114"
2025-09-09T17:48:49,Flow,PASS,"token received"
2025-09-09T17:48:49,Flow,PASS,"vendorId=89"
2025-09-09T17:48:49,Flow,PASS,"eventId=87"
2025-09-09T17:48:49,Flow,PASS,"appId=68"
2025-09-09T17:48:49,Flow,WARN,"delete failed"
2025-09-09T17:48:49,Flow,PASS,"event 87 deleted"
2025-09-09T17:48:50,Flow,PASS,"vendor 89 deleted"
2025-09-09T17:48:50,Flow,PASS,"ok"
2025-09-09T17:48:47,Flow,PASS,"userId=113"
2025-09-09T17:48:49,Flow,PASS,"token received"
2025-09-09T17:48:49,Flow,PASS,"vendorId=88"
2025-09-09T17:48:49,Flow,PASS,"eventId=86"
2025-09-09T17:48:49,Flow,PASS,"appId=67"
2025-09-09T17:48:49,Flow,WARN,"delete failed"
2025-09-09T17:48:50,Flow,PASS,"event 86 deleted"
2025-09-09T17:48:50,Flow,PASS,"vendor 88 deleted"
2025-09-09T17:48:50,Flow,PASS,"ok"
2025-09-09T17:48:47,Flow,PASS,"userId=115"
2025-09-09T17:48:49,Flow,PASS,"token received"
2025-09-09T17:48:49,Flow,PASS,"vendorId=90"
2025-09-09T17:48:49,Flow,PASS,"eventId=88"
2025-09-09T17:48:49,Flow,PASS,"appId=69"
2025-09-09T17:48:50,Flow,WARN,"delete failed"
2025-09-09T17:48:50,Flow,PASS,"event 88 deleted"
2025-09-09T17:48:50,Flow,PASS,"vendor 90 deleted"
2025-09-09T17:48:50,Flow,PASS,"ok"
